COUNTRY_NAME,COUNT_VISIT
Canada,41915
Mexico,35826
United Kingdom,10047
Japan,9151
Germany,8524
Colombia,7314
Brazil,6585
Dominican Republic,6345
Bahamas,5393
South Korea,5242
China,4945
France,4815
Jamaica,3987
Costa Rica,3973
Netherlands,3563
Spain,2917
Italy,2791
Guatemala,2775
Honduras,2752
Taiwan,2549
El Salvador,2518
Panama,2502
Australia,2483
Venezuela,2461
Hong Kong,2434
Cuba,2219
Switzerland,1975
Belgium,1936
Ecuador,1887
Aruba,1886
Cayman Islands,1862
Peru,1811
Ireland,1741
United Arab Emirates,1671
Argentina,1369
India,1355
Sint Maarten,1276
Chile,1272
Trinidad and Tobago,1256
Turks and Caicos Islands,1175
Bermuda,1159
Haiti,1137
Singapore,1134
Russia,1130
Belize,1095
Luxembourg,1042
Nicaragua,999
Israel,934
Iceland,804
Philippines,786
Saint Kitts and Nevis,771
Antigua and Barbuda,740
Federated States of Micronesia,728
Barbados,681
New Zealand,651
Portugal,633
Saint Lucia,627
Saudi Arabia,597
Turkey,593
Denmark,583
Marshall Islands,579
Curacao,567
Paraguay,550
Qatar,534
Nigeria,526
Sweden,457
British Virgin Islands,449
Guyana,418
Bolivia,407
Norway,376
Bahrain,371
Uruguay,351
Ghana,347
South Africa,334
Guadeloupe,320
Jordan,317
Afghanistan,314
Thailand,304
Grenada,294
Netherlands Antilles,289
Bonaire, Sint Eustatius, and Saba,281
French Polynesia,266
Austria,263
Poland,262
Greece,225
Pakistan,224
Kuwait,220
Saint Barthelemy,218
Fiji,216
Senegal,211
Martinique,199
Anguilla,178
Samoa,172
Palau,165
Finland,162
Kiribati,143
Czech Republic,137
Latvia,134
Vietnam,129
Egypt,129
Angola,104
Morocco,102
Cape Verde,101
Dominica,97
Liberia,97
Ukraine,94
Ethiopia,90
Malaysia,89
Cook Islands,82
Uzbekistan,81
Suriname,76
French Guiana,60
Hungary,57
Azerbaijan,51
Kazakhstan,49
Romania,42
Iraq,36
Algeria,22
Saint Vincent and the Grenadines,21
Kyrgyzstan,20
Kenya,17
Djibouti,11
Papua New Guinea,9
Georgia,9
Macau,9
Cyprus,9
Libya,9
Tunisia,8
Sierra Leone,7
Lebanon,6
Mauritania,6
Guinea,6
Uganda,6
Namibia,6
Brunei,6
Tanzania,6
Niger,6
Greenland,6
Oman,5
Cameroon,5
Croatia,5
Congo,5
Indonesia,5
Mali,4
Equatorial Guinea,4
Bulgaria,4
Malta,4
Yemen,3
Chad,3
Rwanda,3
The Gambia,3
Togo,3
Burkina Faso,3
New Caledonia,3
Madagascar,2
Saint Pierre and Miquelon,2
Burundi,2
Bangladesh,2
Moldova,2
Lithuania,2
Solomon Islands,2
Saint Martin,1
Saint Helena, Ascension, and Tristan da Cunha,1
Gibraltar,1
Turkmenistan,1
Cambodia,1
Zimbabwe,1
Mozambique,1
Central African Republic,1
Zambia,1
Mongolia,1
Vanuatu,1
Serbia,1
Botswana,1
Iran,1
Kosovo,1
Malawi,1
North Korea,1
Sudan,1
Nepal,1
Cote d'Ivoire,1
Mauritius,1
Gabon,1
NULL,0
